Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 08:00,10,AAA111,90,ZZZ999,9000.00,US Dollar,9000.00,US Dollar,Wire,1
2022/09/01 20:00,10,AAA111,91,ZZZ998,5000.00,US Dollar,5000.00,US Dollar,ACH,0
2022/09/02 09:00,10,AAA111,92,ZZZ997,60.10,Euro,59.50,Euro,Credit Card,0
2022/09/05 10:00,10,AAA111,93,ZZZ996,100.00,US Dollar,100.00,US Dollar,Cash,0
2022/09/03 12:00,20,BBB222,94,ZZZ995,7000.00,US Dollar,7000.00,US Dollar,Bitcoin,1
2022/09/03 12:00,20,BBB222,95,ZZZ994,8000.00,US Dollar,8000.00,US Dollar,Cheque,0
2022/09/07 06:30,30,CCC333,96,ZZZ993,250.75,UK Pound,250.75,UK Pound,Reinvestment,0
2022/09/07 18:30,30,CCC333,97,ZZZ992,250.75,UK Pound,250.75,UK Pound,Wire,0
2022/09/10 00:00,40,DDD444,98,ZZZ991,3000.00,Mexican Peso,3000.00,Mexican Peso,ACH,1
2022/09/12 03:00,50,EEE555,99,ZZZ990,4200.00,Yuan,4200.00,Yuan,Wire,0
2022/09/15 15:00,60,FFF666,80,ZZZ989,950.00,US Dollar,950.00,US Dollar,Credit Card,0
2022/09/18 21:00,70,GGG777,81,ZZZ988,1000.00,US Dollar,1000.00,US Dollar,Cash,1
