TransactionID,TransactionDT,TransactionAmt,ProductCD,card1,card4,card6,addr1,P_emaildomain,dist1
2987000,86400,59.00,W,4111111111111111,visa,debit,204,gmail.com,19
2987001,86700,29.99,C,4242424242424242,visa,credit,325,outlook.com,0
2987002,90000,150.00,R,5555555555554444,mastercard,credit,111,yahoo.com,5
2987003,93600,12.50,H,13926,discover,debit,87,gmail.com,
2987004,100000,499.95,W,4012888888881881,visa,credit,299,hotmail.com,33
2987005,103210,5.00,S,6011000990139424,discover,debit,150,gmail.com,1
2987006,110000,1200.00,W,378282246310005,amex,credit,512,aol.com,200
2987007,115000,75.25,C,4111111111111111,visa,debit,204,gmail.com,12
2987008,120300,8.99,R,30569309025904,diners,credit,76,protonmail.com,
2987009,130000,250.00,W,3530111333300000,jcb,credit,410,gmail.com,44
2987010,140000,33.33,H,4222222222222,visa,debit,12,gmail.com,3
2987011,150000,18.00,C,5105105105105100,mastercard,credit,233,outlook.com,7
